ID1 ID2 kin k0 k2 nsnp relationship
IVC_2706 IVC_2708 0.473405472503051 0 1.10600396667608 4635 fullsib
TXL_0009 TXL_0010 0.445054309908028 0.702691743599935 0.00803452909882545 1532 fullsib
TXL_0023 TXL_0030 0.432423704379059 0.594945655316159 0.217025767063043 1790 fullsib
TXL_0009 TXL_0019 0.432186702774454 0.569535186696236 -0.0134061539703449 1539 fullsib
TXL_0009 TXL_0023 0.426736732533973 0.683745767721761 -0.0609782813075919 1621 fullsib
TXL_0019 TXL_0030 0.419355139989312 0.426823200581475 -0.0808684653347505 1653 fullsib
TXL_0010 TXL_0019 0.419294425089475 0.516852162298241 -0.0883993510268776 1521 fullsib
TXL_0014 TXL_0019 0.416983762895967 0.615621077263964 0.027244343246632 1611 fullsib
SEN_1979 SEN_2236 0.410774434147686 0.644726032493579 0.88096066783747 3172 fullsib
TXL_0019 TXL_0023 0.409356257397633 0.421438889728998 -0.0609943896526774 1600 fullsib
GOM_2276 TXL_0009 0.408946217919122 0.656559415427541 -0.0887448381682022 1521 fullsib
TXL_0009 TXL_0014 0.404625676805755 0.836925433106301 -0.159544222480436 1623 fullsib
SEN_1979 SEN_2238 0.40432145199782 0.469134813596013 0.814107344931641 2951 fullsib
TXL_0014 TXL_0023 0.400551713853106 0.680609906023752 -0.00646327515116873 1686 fullsib
TXL_0010 TXL_0014 0.399383367263371 0.823106162038034 -0.0932787052381198 1624 fullsib
SEN_1977 SEN_2236 0.397037108606961 0.552673115802828 0.726681206374497 3091 fullsib
TXL_0009 TXL_0088 0.396925554606377 0.69173873249852 -0.147053737410043 1569 fullsib
SEN_1977 SEN_1979 0.396078545993497 0.460453431760551 0.802916921596277 3094 fullsib
SEN_1963 SEN_2236 0.395256923977281 0.569312348480471 0.847225417286148 3190 fullsib
GOM_2276 TXL_0010 0.394577275115226 0.646499498846055 -0.0844575905334503 1861 fullsib
SEN_1979 SEN_2242 0.393176278786284 0.430568341068474 0.82972605610558 3139 fullsib
TXL_0023 TXL_0088 0.391754323886034 0.686517029841035 -0.100225430704155 1633 fullsib
TXL_0019 TXL_0088 0.391012877996676 0.48745114687251 -0.185989418331159 1509 fullsib
SEN_2238 SEN_2242 0.390680212249653 0.378316396902514 0.757981866688235 2923 fullsib
TXL_0009 TXL_0091 0.390301906897927 0.542892688603133 -0.0752640941187576 1371 fullsib
SEN_2236 SEN_2242 0.388338620574061 0.67404346595248 0.872125061613204 3128 fullsib
SEN_1963 SEN_1979 0.387812371710466 0.475911913735926 0.768241821424326 3179 fullsib
TXL_0009 TXL_0030 0.385222302932951 0.766114713572076 -0.110879903424811 1664 fullsib
TXL_0010 TXL_0030 0.384775513388527 0.726368180639016 -0.12919350317661 1821 fullsib
SEN_1963 SEN_2238 0.383782580617205 0.48547883886469 0.638804901984489 3022 fullsib
TXL_0010 TXL_0023 0.381898210668471 0.778244794352396 -0.146771193971327 1612 fullsib
TXL_0019 TXL_0091 0.381675590860717 0.508246404716955 0.101880366705144 1332 fullsib
TXL_0014 TXL_0030 0.379431848355371 0.72596956292375 -0.0855518107070676 1734 fullsib
TXL_0088 TXL_0091 0.3777139148947 0.471562413399469 -0.0966412838465637 1359 fullsib
GOM_2276 TXL_0019 0.37768197131734 0.578898806531983 -0.127781145501804 1530 fullsib
TXL_0030 TXL_0088 0.376757644523271 0.856815321148194 0.066260583096952 1634 fullsib
TXL_0009 TXL_0033 0.37556279293264 0.526885322929498 0.0371776167540619 1323 fullsib
GOM_2276 TXL_0023 0.374188737787962 0.540811632177398 -0.22261745785475 1658 fullsib
TXL_0010 TXL_0091 0.372431707444258 0.634647361313707 -0.0333555134025704 1324 fullsib
