name	population	region	year
IVC_2675	IVC	E	2020
IVC_2676	IVC	E	2020
IVC_2677	IVC	E	2020
IVC_2678	IVC	E	2020
IVC_2679	IVC	E	2020
IVC_2680	IVC	E	2020
IVC_2682	IVC	E	2020
IVC_2683	IVC	E	2020
IVC_2684	IVC	E	2020
IVC_2685	IVC	E	2020
IVC_2687	IVC	E	2020
IVC_2688	IVC	E	2020
IVC_2689	IVC	E	2020
IVC_2690	IVC	E	2020
IVC_2691	IVC	E	2020
IVC_2694	IVC	E	2020
IVC_2695	IVC	E	2020
IVC_2696	IVC	E	2020
IVC_2698	IVC	E	2020
IVC_2699	IVC	E	2020
IVC_2700	IVC	E	2020
IVC_2701	IVC	E	2020
IVC_2702	IVC	E	2020
IVC_2703	IVC	E	2020
IVC_2704	IVC	E	2020
IVC_2705	IVC	E	2020
IVC_2706	IVC	E	2020
IVC_2707	IVC	E	2020
IVC_2709	IVC	E	2020
IVC_2710	IVC	E	2020
IVC_2711	IVC	E	2020
IVC_2712	IVC	E	2020
IVC_2713	IVC	E	2020
IVC_2714	IVC	E	2020
IVC_2715	IVC	E	2020
IVC_2718	IVC	E	2020
IVC_2719	IVC	E	2020
IVC_2721	IVC	E	2020
IVC_2722	IVC	E	2020
IVC_2723	IVC	E	2020
SEN_1927	SEN	E	2017
SEN_1928	SEN	E	2017
SEN_1929	SEN	E	2017
SEN_1931	SEN	E	2017
SEN_1933	SEN	E	2017
SEN_1934	SEN	E	2017
SEN_1937	SEN	E	2017
SEN_1938	SEN	E	2017
SEN_1939	SEN	E	2017
SEN_1941	SEN	E	2017
SEN_1943	SEN	E	2017
SEN_1944	SEN	E	2017
SEN_1945	SEN	E	2017
SEN_1946	SEN	E	2017
SEN_1948	SEN	E	2017
SEN_1950	SEN	E	2017
SEN_1951	SEN	E	2017
SEN_1953	SEN	E	2017
SEN_1954	SEN	E	2017
SEN_1955	SEN	E	2017
SEN_1958	SEN	E	2017
SEN_1961	SEN	E	2017
SEN_1962	SEN	E	2017
SEN_1963	SEN	E	2017
SEN_1964	SEN	E	2017
SEN_1965	SEN	E	2017
SEN_1966	SEN	E	2017
SEN_1967	SEN	E	2017
SEN_1968	SEN	E	2017
SEN_1969	SEN	E	2017
SEN_1970	SEN	E	2017
SEN_1971	SEN	E	2017
SEN_1977	SEN	E	2017
SEN_1979	SEN	E	2017
SEN_1981	SEN	E	2017
SEN_1984	SEN	E	2017
SEN_1985	SEN	E	2017
SEN_1986	SEN	E	2017
SEN_2206	SEN	E	2018
SEN_2208	SEN	E	2018
SEN_2209	SEN	E	2018
SEN_2210	SEN	E	2018
SEN_2211	SEN	E	2018
SEN_2212	SEN	E	2018
SEN_2213	SEN	E	2018
SEN_2216	SEN	E	2018
SEN_2217	SEN	E	2018
SEN_2223	SEN	E	2018
SEN_2225	SEN	E	2018
SEN_2226	SEN	E	2018
SEN_2229	SEN	E	2018
SEN_2231	SEN	E	2018
SEN_2233	SEN	E	2018
SEN_2234	SEN	E	2018
SEN_2235	SEN	E	2018
SEN_2236	SEN	E	2018
SEN_2237	SEN	E	2018
SEN_2238	SEN	E	2018
SEN_2239	SEN	E	2018
SEN_2240	SEN	E	2018
SEN_2241	SEN	E	2018
SEN_2242	SEN	E	2018
SEN_2243	SEN	E	2018
SEN_2244	SEN	E	2018
SEN_2245	SEN	E	2018
SEN_2246	SEN	E	2018
SEN_2247	SEN	E	2018
SEN_2248	SEN	E	2018
SEN_2251	SEN	E	2018
SEN_2252	SEN	E	2018
SEN_2253	SEN	E	2018
SEN_2254	SEN	E	2018
SEN_2255	SEN	E	2018
SEN_2256	SEN	E	2018
SEN_2265	SEN	E	2019
TXL_0003	GOM	W	2015
TXL_0009	GOM	W	2015
TXL_0010	GOM	W	2015
TXL_0012	GOM	W	2015
TXL_0014	GOM	W	2015
TXL_0016	GOM	W	2015
TXL_0018	GOM	W	2015
TXL_0019	GOM	W	2015
TXL_0023	GOM	W	2015
TXL_0029	GOM	W	2015
TXL_0030	GOM	W	2015
TXL_0033	GOM	W	2015
TXL_0037	GOM	W	2015
TXL_0039	GOM	W	2015
TXL_0040	GOM	W	2015
TXL_0041	GOM	W	2015
TXL_0042	GOM	W	2010
TXL_0047	GOM	W	2010
TXL_0052	GOM	W	2010
TXL_0055	GOM	W	2010
TXL_0058	GOM	W	2010
TXL_0080	GOM	W	2010
TXL_0082	GOM	W	2010
TXL_0083	GOM	W	2010
TXL_0084	GOM	W	2010
TXL_0085	GOM	W	2010
TXL_0088	GOM	W	2010
TXL_0091	GOM	W	2010
TX_0059	GOM	W	2013
TX_0060	GOM	W	2013
TX_0062	GOM	W	2013
TX_0063	GOM	W	2013
